"review_id","mean_mafi","analysis_count","high_fragile_count"
"CD000028",0.203285714285714,14,1
"CD000143",0.189,5,0
"CD000547",0.255,2,0
"CD001396",0.255,1,0
"CD001431",0.09,3,0
"CD001533",0.12,1,0
"CD001703",0.2175,8,0
"CD001797",0.255,1,0
"CD001920",0.0874137931034483,58,0
"CD002042",0.197255319148936,47,3
"CD002112",0.216,5,0
"CD002115",0.499333333333333,3,2
"CD002122",0.352333333333333,30,8
"CD002203",0.267,2,0
"CD002243",0.11,3,0
"CD002290",0.2025,6,0
"CD002971",0.20625,8,0
"CD003218",0.487333333333333,3,1
"CD003429",0.24,4,0
"CD003451",0.255,1,0
"CD003477",0.206739130434783,23,0
"CD003511",0.18,1,0
"CD003519",0.303333333333333,36,5
"CD003598",0.475,1,0
"CD003743",0.255,1,0
"CD003962",0.235,3,0
"CD004184",0.295,10,0
"CD004307",0.171666666666667,3,0
"CD004376",0.199095238095238,21,0
"CD004661",0.235568181818182,44,0
"CD004762",0.3984,5,1
"CD004904",0.24,1,0
"CD004925",0.255,1,0
"CD004953",0.15,2,0
"CD005343",0.331625,8,0
"CD005495",0.255,1,0
"CD006023",0.231,5,0
"CD006140",0.389263157894737,19,4
"CD006185",0.177,10,0
"CD006404",0.313916666666667,36,3
"CD006475",0.1775,12,0
"CD006536",0.255,2,0
"CD006632",0.476111111111111,9,4
"CD006689",0.328,1,0
"CD006742",0.24,1,0
"CD006913",0.19875,64,0
"CD006942",0.25125,4,0
"CD006982",0.245,3,0
"CD007156",0.21,1,0
"CD007374",0.2635,2,0
"CD007491",0.52425,4,2
"CD007569",0.292,2,0
"CD007572",0.245,3,0
"CD007693",0.416666666666667,6,2
"CD007896",0.0488571428571429,35,0
"CD008063",0.29525,8,3
"CD008145",0.594,10,7
"CD008165",0.1825,6,0
"CD008349",0.114,5,0
"CD008493",0.235,15,0
"CD008552",0.316666666666667,18,1
"CD008564",0.2278125,32,0
"CD008879",0.243,5,0
"CD008940",0.249375,8,0
"CD009235",0.121428571428571,21,0
"CD009252",0.1475,6,0
"CD009298",0.289266666666667,45,2
"CD009362",0.255,1,0
"CD009508",0.2175,4,0
"CD009609",0.4816,10,4
"CD009679",0.24,1,0
"CD009749",0.2475,2,0
"CD010001",0.245,3,0
"CD010145",0.135,4,0
"CD010189",0.4466,10,3
"CD010216",0.255,1,0
"CD010441",0.255,2,0
"CD010533",0.455666666666667,6,2
"CD010583",0.255,4,0
"CD010779",0.2475,2,0
"CD010861",0.360666666666667,24,3
"CD010966",0.4308,5,1
"CD011044",0.393333333333333,9,4
"CD011197",0.255,3,0
"CD011218",0.255,1,0
"CD011305",0.255,1,0
"CD011535",0.262111111111111,72,4
"CD011575",0.255,2,0
"CD011600",0.354785714285714,14,1
"CD011624",0.449,9,5
"CD011626",0.1725,2,0
"CD011627",0.21,3,0
"CD011671",0.329571428571429,7,1
"CD011762",0.0915441176470588,68,0
"CD011778",0.356307692307692,13,2
"CD011841",0.255,1,0
"CD011885",0.2325,2,0
"CD012067",0.246428571428571,7,0
"CD012079",0.105,4,0
"CD012170",0.463625,8,3
"CD012214",0.24,2,0
"CD012335",0.31,1,0
"CD012426",0.327,7,1
"CD012429",0.255,1,0
"CD012503",0.168157894736842,19,0
"CD012693",0.428,5,2
"CD012712",0.255,1,0
"CD012718",0.438,2,1
"CD012886",0.2835,2,0
"CD012891",0.225,1,0
"CD012905",0.21,4,0
"CD012925",0.3996,10,4
"CD012942",0.116666666666667,18,0
"CD013038",0.255,2,0
"CD013042",0.24,2,0
"CD013078",0.255,1,0
"CD013166",0.25,3,0
"CD013197",0.251533333333333,15,0
"CD013232",0.225,1,0
"CD013255",0.219375,8,0
"CD013278",0.225,2,0
"CD013284",0.387416666666667,12,2
"CD013342",0.191538461538462,13,0
"CD013425",0.09,2,0
"CD013429",0.2371875,16,0
"CD013462",0.291076923076923,13,0
"CD013474",0.481090909090909,11,5
"CD013508",0.1725,4,0
"CD013539",0.438333333333333,3,0
"CD013541",0.22375,24,0
"CD013561",0.235,3,0
"CD013590",0.4904,5,2
"CD013591",0.227142857142857,7,0
"CD013595",0.3905,2,0
"CD013643",0.24,2,0
"CD013715",0.2175,2,0
"CD013757",0.225,2,0
"CD013774",0.51825,4,3
"CD013801",0.4248,5,2
"CD013821",0.135,3,0
"CD013822",0.225,4,0
"CD013834",0.255,1,0
"CD013874",0.44,12,5
"CD014089",0.4226,15,3
"CD014428",0.23,3,0
"CD014541",0.233333333333333,9,0
"CD014544",0.238333333333333,9,0
"CD014585",0.1725,8,0
"CD014617",0.255,1,0
"CD014624",0.192384615384615,13,1
"CD014666",0.24,1,0
"CD014688",0.255,1,0
"CD014713",0.255,1,0
"CD014736",0.255,1,0
"CD014741",0.382666666666667,12,3
"CD014758",0.2528,15,0
"CD014769",0.186428571428571,14,0
"CD014792",0.2325,2,0
"CD014803",0.255,1,0
"CD014820",0.200625,8,0
"CD014845",0.0378571428571429,7,0
"CD014855",0.225,6,0
"CD014861",0.365,2,0
"CD014869",0.225,3,0
"CD014872",0.258740740740741,27,3
"CD014914",0.341045454545455,22,1
"CD014937",0.0892105263157895,19,0
"CD014944",0.255,1,0
"CD014964",0.226888888888889,45,4
"CD014965",0.2275,12,0
"CD014966",0.2835,4,0
"CD015003",0.24,1,0
"CD015014",0.4649,10,6
"CD015033",0.255,1,0
"CD015040",0.215,3,0
"CD015042",0.225,2,0
"CD015064",0.255,1,0
"CD015083",0.276551724137931,87,7
"CD015087",0.451307692307692,13,4
"CD015120",0.5535,8,6
"CD015124",0.3554,5,1
"CD015134",0.255,1,0
"CD015140",0.4921875,16,6
"CD015145",0.564642857142857,28,27
"CD015192",0.2175,2,0
"CD015213",0.18,3,0
"CD015215",0.686,3,3
"CD015219",0.339285714285714,14,5
"CD015229",0.448714285714286,7,3
"CD015284",0.2475,14,0
"CD015314",0.1125,2,0
"CD015326",0.382977777777778,45,11
"CD015328",0.406217391304348,23,8
"CD015330",0.448461538461538,13,6
"CD015350",0.225,7,0
"CD015373",0.4034,25,4
"CD015383",0.289,4,0
"CD015387",0.213666666666667,15,0
"CD015443",0.24,1,0
"CD015448",0.2794,5,0
"CD015476",0.15,5,0
"CD015495",0.317,6,1
"CD015517",0.218,30,0
"CD015518",0.2004,25,0
"CD015519",0.2475,4,0
"CD015520",0.241578947368421,19,0
"CD015524",0.252857142857143,7,0
"CD015532",0.643,1,1
"CD015536",0.155625,16,0
"CD015551",0.255,3,0
"CD015573",0.255,1,0
"CD015584",0.214285714285714,14,0
"CD015588",0.303526315789474,19,2
