"analysis_id","review_id","measure","k","MAFI","MAFI_class","I2","estimate","pval","study_year","specialty","stale_score","roe_index","evidence_age"
"CD000028_G1_N1","CD000028","GEN_CI",13,0.161,"Low Fragility",26,0.9015,0,1987.5,"Cardiovascular",1,0.203,38.5
"CD000028_G1_N2","CD000028","GEN_CI",21,0.015,"Robust",4.3,0.6781,0,1989,"Cardiovascular",0.999,0.02,37
"CD000028_G1_N3","CD000028","GEN_CI",15,0.204,"Low Fragility",61.3,0.73,0,1986,"Cardiovascular",1,0.261,40
"CD000028_G1_N4","CD000028","GEN_CI",13,0.111,"Robust",0,0.641,0,1987.5,"Cardiovascular",1,0.14,38.5
"CD000028_G1_N5","CD000028","GEN_CI",11,0.139,"Robust",0,0.764,0,1987.5,"Cardiovascular",1,0.173,38.5
"CD000028_G1_N6","CD000028","GEN_CI",4,0.67,"High Fragility",98,2.5004,0.0346,1991,"Cardiovascular",0.999,0.777,35
"CD000028_G2_N1","CD000028","GEN_CI",17,0.177,"Low Fragility",63.1,0.8895,0,1990,"Cardiovascular",0.999,0.228,36
"CD000028_G2_N2","CD000028","GEN_CI",15,0.143,"Robust",30.1,0.7056,0,1991,"Cardiovascular",0.999,0.182,35
"CD000028_G2_N3","CD000028","GEN_CI",15,0.108,"Robust",13.1,0.6146,0,1991,"Cardiovascular",0.999,0.138,35
"CD000028_G2_N4","CD000028","GEN_CI",13,0.108,"Robust",0,0.78,0,1991,"Cardiovascular",0.999,0.136,35
"CD000028_G3_N1","CD000028","GEN_CI",6,0.343,"Moderate Fragility",59.2,0.8599,0,1991,"Cardiovascular",0.999,0.409,35
"CD000028_G3_N2","CD000028","GEN_CI",6,0.214,"Low Fragility",0,0.6531,0,1991,"Cardiovascular",0.999,0.255,35
"CD000028_G3_N3","CD000028","GEN_CI",6,0.238,"Low Fragility",5.3,0.5763,0,1991,"Cardiovascular",0.999,0.284,35
"CD000028_G3_N4","CD000028","GEN_CI",6,0.215,"Low Fragility",0,0.7338,0,1991,"Cardiovascular",0.999,0.257,35
"CD000143_G1_N1","CD000143","GIV",9,0.165,"Low Fragility",0,0,1,1995,"Cardiovascular",0.997,0.202,31
"CD000143_G1_N2","CD000143","GIV",9,0.165,"Low Fragility",0,0,1,1995,"Cardiovascular",0.997,0.202,31
"CD000143_G4_N1","CD000143","GIV",8,0.18,"Low Fragility",0,0,1,1995,"Cardiovascular",0.997,0.219,31
"CD000143_G5_N1","CD000143","GIV",8,0.18,"Low Fragility",0,0,1,1995,"Cardiovascular",0.997,0.219,31
"CD000143_G5_N2","CD000143","GIV",3,0.255,"Low Fragility",0,0,1,1998,"Cardiovascular",0.992,0.288,28
"CD000547_G5_N2","CD000547","GIV",3,0.255,"Low Fragility",0,0,1,2009,"Cardiovascular",0.818,0.237,17
"CD000547_G6_N3","CD000547","GIV",3,0.255,"Low Fragility",0,0,1,2012,"Cardiovascular",0.646,0.187,14
"CD001396_G4_N1","CD001396","GIV",3,0.255,"Low Fragility",0,0,1,2004,"General Medicine",0.953,0.277,22
"CD001431_G1_N4","CD001431","GIV",13,0.105,"Robust",0,0,1,2011,"General Medicine",0.711,0.094,15
"CD001431_G1_N5","CD001431","GIV",9,0.165,"Low Fragility",0,0,1,2016,"General Medicine",0.354,0.072,10
"CD001431_G7_N1","CD001431","GIV",42,0,"Robust",0,0,1,2013.5,"General Medicine",0.537,0,12.5
